test_size,h,ANN,lambda,Log,Base
22.0,9.0,0.45454545454545453,0.5994842503189421,0.45454545454545453,0.7272727272727273
22.0,9.0,0.3181818181818182,0.04641588833612782,0.3181818181818182,0.5454545454545454
22.0,7.0,0.22727272727272727,0.5994842503189421,0.2727272727272727,0.6363636363636364
22.0,10.0,0.3181818181818182,0.04641588833612782,0.3181818181818182,0.8181818181818182
21.0,10.0,0.23809523809523808,0.5994842503189421,0.2857142857142857,0.7142857142857143
21.0,8.0,0.38095238095238093,0.04641588833612782,0.38095238095238093,0.7142857142857143
21.0,8.0,0.38095238095238093,0.04641588833612782,0.5714285714285714,0.5714285714285714
21.0,9.0,0.38095238095238093,0.003593813663804626,0.3333333333333333,0.6666666666666666
21.0,10.0,0.47619047619047616,0.04641588833612782,0.42857142857142855,0.7142857142857143
21.0,6.0,0.23809523809523808,2.1544346900318867e-05,0.5714285714285714,0.6190476190476191
