h,0.000014883180484,lambda,lin,Base
0.0,5.036969469074393e-06,1e-06,1.3129902897526436e-06,1.0354344834710738e-05
0.0,1.5116169379325584e-05,1e-06,7.161257214779393e-07,3.476708471074372e-06
0.0,4.7081164666451514e-05,0.00046415888336127773,1.4340672896133378e-06,6.158017355371915e-06
0.0,1.1420168448239565e-05,1e-06,7.35814691112034e-07,5.114035537190094e-06
0.0,4.691101275966503e-05,1e-06,6.895106575460075e-07,7.901272108843537e-06
0.0,6.632462373090675e-06,1e-06,1.1301616438102769e-06,4.755614058956888e-06
0.0,0.000003536676104,1e-06,3.2912388321594144e-07,7.375688435374084e-06
0.0,0.000003079369208,2.1544346900318823e-05,2.9775900191630406e-07,1.281443446712029e-05
0.0,0.00034260566462762654,1e-06,1.025248748566357e-06,2.1251928344671275e-05
0.0,0.000085965322796,1e-06,2.0668172415395105e-06,9.198895238095385e-06
