h,ANN,lambda,lin,Base
10.0,9.628309953768621e-07,2.1544346900318823e-05,2.895827260748692e-07,9.404853719008427e-06
4.0,1.5480353567909333e-06,1e-06,2.5088833593495956e-07,3.0876514462809997e-06
6.0,1.2331564676060225e-06,1e-06,3.1074361752533707e-07,7.882276239669517e-06
9.0,1.5262444321706425e-06,1e-06,1.3127352883316808e-06,6.321986776859526e-06
10.0,2.5399945116078015e-06,1e-06,1.7958728524919483e-06,3.8749392290249365e-06
10.0,3.767330781556666e-05,1e-06,8.638153210241957e-07,1.330058684807254e-05
7.0,4.76076911581913e-06,1e-06,1.0704413629304588e-06,1.9840189569161106e-05
4.0,2.7269234124105424e-06,1e-06,1.8593598458562553e-07,8.419726984126935e-06
7.0,2.0147710529272445e-05,1e-06,3.944664800582819e-06,1.3442928344671123e-05
10.0,1.5663000567656127e-06,2.1544346900318823e-05,6.780020903528526e-07,2.1925038548752764e-06
